"rank","net_worth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","gender","title","state","residenceStateRegion","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country","gdp_country_numeric","log_net_worth","log_cpi_country","log_cpi_change_country","log_gross_primary_education_enrollment_country","exp_life_expectancy_country","exp_latitude_country"
49,28100,"Finance & Investments","Jim Simons",84,"United States","East Setauket","Hedge funds","Finance & Investments","United States","Renaissance Technologies Corp.",TRUE,"M","Founder","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.2435248553218,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
50,27800,"Finance & Investments","Stephen Schwarzman",76,"United States","New York","Investments","Finance & Investments","United States","Blackstone Group",TRUE,"M","Chairman and CEO","New York","Northeast",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.2327912996787,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
51,27400,"Automotive","Susanne Klatten",60,"Germany","Bad Homburg","BMW, pharmaceuticals","Automotive","Germany","",FALSE,"F","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,10.2182982923762,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
52,27000,"Metals & Mining","Gina Rinehart",69,"Australia","Perth","Mining","Metals & Mining","Australia","Hancock Prospecting",FALSE,"F","Executive Chairman","","",119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136,1392680589329,10.2035921449865,4.78582368568135,1.50407739677627,4.60816569496789,2.58527730254747,1.16412411610534
53,26700,"Technology","William Ding",51,"China","Hangzhou","Online games","Technology","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.1924188443883,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
54,26600,"Metals & Mining","Germán Larrea Mota Velasco & family",69,"Mexico","Mexico City","Mining","Metals & Mining","Mexico","",FALSE,"M","","","",141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784,1258286717125,10.1886664947698,4.95258236264764,1.87180217690159,4.6615505194242,1.99832172803885,1.8731515607626
55,25600,"Technology","Shiv Nadar",77,"India","Delhi","software services","Technology","India","",TRUE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,10.1503476304677,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
56,25500,"Energy","Low Tuck Kwong",74,"Indonesia","Jakarta","Coal","Energy","Indonesia","",TRUE,"M","","","",151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,1119190780753,10.1464337311465,5.01847117986403,1.77495235091167,4.66720557690754,1.77757635135295,1.47711958418769
57,25300,"Finance & Investments","Thomas Peterffy",78,"United States","Palm Beach","Discount brokerage","Finance & Investments","United States","",TRUE,"M","","Florida","South",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.1385596747156,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
58,25200,"Metals & Mining","Andrey Melnichenko & family",51,"United Arab Emirates","Ras Al Khaimah","Fertilizers, coal","Metals & Mining","Russia","",TRUE,"M","","","",114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818,421142267938,10.1345992734995,4.74074948022991,0,4.68582808900555,2.19449768943712,1.86932217922956
59,24600,"Automotive","Stefan Quandt",56,"Germany","Frankfurt","BMW","Automotive","Germany","",FALSE,"M","","","",112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,10.1105017219205,4.72605950326354,1.45861502269952,4.64439089914137,2.43423394896548,2.44824446910457
60,24400,"Technology","MacKenzie Scott",52,"United States","Seattle","Amazon","Technology","United States","",FALSE,"F","Philanthropist","Washington","West",117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,2.14277e+13,10.1023384112813,4.76422311584269,2.34180580614733,4.62301010411642,2.24648000391815,2.13503564342999
61,24200,"Finance & Investments","R. Budi Hartono",82,"Indonesia","Kudus","Banking, tobacco","Finance & Investments","Indonesia","",FALSE,"M","","","",151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,1119190780753,10.0941079121448,5.01847117986403,1.77495235091167,4.66720557690754,1.77757635135295,1.47711958418769
62,23700,"Metals & Mining","Vladimir Potanin",62,"Russia","Moscow","Metals","Metals & Mining","Russia","",TRUE,"M","","","",180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,1699876578871,10.0732303271232,5.19711486103887,2.00148000021012,4.63083793273667,1.85036814276923,2.70772530162082
63,23500,"Technology","Jack Ma",58,"China","Hangzhou","E-commerce","Technology","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.0647557001323,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
64,23400,"Manufacturing","He Xiangjian & family",80,"China","Foshan","Home appliances","Manufacturing","China","",TRUE,"M","","","",125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397,1.991e+13,10.0604913013458,4.82895353258964,1.75785791755237,4.60716818865076,2.13656056702872,2.10967739208507
65,23100,"Metals & Mining","Iris Fontbona & family",80,"Chile","Santiago","Mining","Metals & Mining","Chile","",FALSE,"F","","","",131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969,282318159745,10.0475878965099,4.88211987186083,1.70474809223843,4.61907309115708,2.36205445606552,1.05213206401598
65,23100,"Manufacturing","Michael Hartono",83,"Indonesia","Kudus","Banking, tobacco","Manufacturing","Indonesia","",FALSE,"M","","","",151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,1119190780753,10.0475878965099,5.01847117986403,1.77495235091167,4.66720557690754,1.77757635135295,1.47711958418769
67,22900,"Manufacturing","James Ratcliffe",70,"United Kingdom","London","Chemicals","Manufacturing","United Kingdom","",TRUE,"M","","","",119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,2827113184696,10.0388921895423,4.78432005161641,1.52605630349505,4.61709875685337,2.46701775234324,2.55062304100837
68,22600,"Healthcare","Cyrus Poonawalla",81,"India","Pune","Vaccines","Healthcare","India","",FALSE,"M","","","",180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288,2.611e+12,10.0257051852604,5.1953983125402,2.36085400111802,4.72738781871234,1.6570132294805,1.81856822703354
69,22400,"Telecom","Masayoshi Son",65,"Japan","Tokyo","Internet, telecom","Telecom","Japan","SoftBank Group Corp.",TRUE,"M","CEO","","",105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,5081769542380,10.0168162378431,4.65852136148509,1.22377543162212,4.59309760475382,2.71828182845905,2.11672992888406
