match_date,league,home_team,away_team,home_score,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,result,p_home,p_draw,p_away
2005-04-10,England: Premier League,Everton,Crystal Palace,4,0,1.6355,3.3827,5.2682,H,0.5574331416847369,0.2695130822199389,0.17305377609532424
2005-04-10,England: Premier League,Tottenham,Newcastle Utd,1,0,1.969,3.228,3.601,H,0.4636567792947591,0.28281914449547113,0.25352407620976974
2005-04-16,England: Premier League,Charlton,Bolton,1,2,2.505,3.185,2.595,A,0.36339624010314825,0.28581085760074926,0.3507929022961026
2005-04-16,England: Premier League,Crystal Palace,Norwich,3,3,2.0027,3.2255,3.4755,D,0.4551392829259031,0.2825941534384455,0.2622665636356514
2005-04-16,England: Premier League,Fulham,Manchester City,1,1,2.3345,3.2018,2.8127,D,0.39076137837255964,0.28491237360570315,0.32432624802173726
2005-04-16,England: Premier League,Liverpool,Tottenham,2,2,1.7175,3.375,4.57,D,0.5305857599708971,0.2700091978518565,0.19940504217724636
2005-04-16,England: Premier League,Southampton,Aston Villa,2,3,2.0789,3.2144,3.28,A,0.43848939421511574,0.2835912150428708,0.27791939074201344
2005-04-16,England: Premier League,Birmingham,Portsmouth,0,0,1.828,3.265,4.093,D,0.49838183828049365,0.27903277193774656,0.2225853897817597
2005-04-19,England: Premier League,Bolton,Southampton,1,1,1.5927,3.5282,5.3736,D,0.5721434346499558,0.25827698213451183,0.16957958321553235
2005-04-19,England: Premier League,Middlesbrough,Fulham,1,1,1.7755,3.3245,4.3145,D,0.5139843398513644,0.2745011867667611,0.21151447338187448
2005-04-20,England: Premier League,Aston Villa,Charlton,0,0,1.8645,3.2436,4.0073,D,0.49017201654428966,0.2817627712562672,0.22806521219944306
2005-04-20,England: Premier League,Manchester City,Birmingham,3,0,1.9355,3.2518,3.6709,H,0.4711505775539386,0.2804329733857089,0.24841644906035254
2005-04-20,England: Premier League,Norwich,Newcastle Utd,2,1,2.3782,3.2936,2.6964,H,0.38401604757113167,0.27728533043893167,0.33869862198993667
2005-04-20,England: Premier League,Portsmouth,Liverpool,1,2,3.26,3.261,2.06,A,0.27915668638620483,0.2790710817598981,0.44177223185389697
2005-04-20,England: Premier League,Tottenham,West Brom,1,1,1.6764,3.4391,4.7918,D,0.5442767002513152,0.2653093717255401,0.19041392802314472
2005-04-20,England: Premier League,Blackburn,Crystal Palace,1,0,1.8618,3.31,3.9082,H,0.490470085073893,0.27587830948355707,0.23365160544255
2005-04-20,England: Premier League,Chelsea,Arsenal,0,0,2.0336,3.1855,3.4582,D,0.4491466496446247,0.28673194999758556,0.2641214003577898
2005-04-20,England: Premier League,Everton,Manchester United,1,0,4.367,3.34,1.764,H,0.20906905549739171,0.2733546602865598,0.5175762842160486
2005-04-23,England: Premier League,Everton,Birmingham,1,1,1.6355,3.3909,5.2773,D,0.5579632931167372,0.2691170385126143,0.17291966837064854
2005-04-23,England: Premier League,Chelsea,Fulham,3,1,1.2782,4.6973,9.7355,H,0.7125519434940858,0.1938951938718286,0.0935528626340856
2005-04-23,England: Premier League,Aston Villa,Bolton,1,1,2.29,3.2464,2.8436,D,0.3982930830160305,0.28095464517826196,0.3207522718057075
